Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao,Numero_Linhas
Spinner/Spinner.tsx,93.644,1,3,103,6.955,841.597,46.755,28
Form/FormSection/FormBody.tsx,87.077,1,4,15,9.5,1525.126,84.729,36
index.ts,100,1,0,16,1,137.065,7.615,36
Button/index.ts,100,1,0,3,1,12,0.667,6
Button/styles.ts,89.446,1,1,13,4.2,195.739,10.874,13
Card/index.ts,100,1,0,2,1,4.755,0.264,3
Card/styles.ts,89.446,1,1,128,4.2,195.739,10.874,13
Header/index.ts,100,1,0,2,1,4.755,0.264,3
Header/styles.ts,81.359,1,2,47,5,418.809,23.267,22
Icons/index.ts,100,1,0,8,1,66.568,3.698,21
Modal/index.ts,100,1,0,2,1,4.755,0.264,3
Modal/styles.ts,68.251,1,6,97,5.971,1615.12,89.729,59
Spinner/index.ts,100,1,0,2,1,4.755,0.264,3
Theme/ThemeStyles.ts,89.461,1,1,63,4.5,194.333,10.796,13
Form/InputField/index.ts,100,1,0,2,1,4.755,0.264,3
Form/PasswordField/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/ApproveIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/ArrowLeftIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/DeleteIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/DisapproveIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/EditIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/PlusIcon/index.ts,100,1,0,2,1,4.755,0.264,3
Icons/ReportIcon/index.ts,100,1,0,2,1,4.755,0.264,3
